height_over_sea_level	fall	net	flow	power_of_hydroelectrical_turbine
624.00	89.160	89.765	3.500	2512.85
628.00	93.160	93.765	3.500	2583.79
602.00	67.840	66.415	6.500	3748.77
599.00	64.840	63.415	6.500	3520.65
630.00	94.690	93.540	8.000	6673.84
620.00	84.890	84.665	6.000	4533.31
601.00	66.890	65.665	6.000	3402.31
622.00	88.210	87.935	3.000	2029.03
599.00	64.990	64.165	5.000	2702.84
611.00	75.890	75.665	6.000	4047.41
591.00	56.940	55.920	5.500	2506.19
591.00	56.990	56.165	5.000	2272.25
598.00	63.940	62.920	5.500	2930.92
618.00	83.040	83.365	4.500	3196.87
609.00	73.890	73.665	6.000	3934.63
608.00	72.790	72.140	7.000	4498.27
609.00	75.210	74.935	3.000	1753.19
614.00	79.040	79.365	4.500	3050.21
628.00	92.790	92.140	7.000	5785.19
608.00	72.940	72.920	5.500	3533.24
625.00	89.690	88.540	8.000	6318.53
603.00	69.100	68.550	4.000	2260.59
611.00	75.840	75.415	6.500	4386.78
620.00	84.690	83.540	8.000	5950.95
628.00	92.840	92.415	6.500	5370.96
617.00	82.160	82.765	3.500	2342.83
597.00	63.040	62.365	4.500	2315.89
626.00	90.890	90.665	6.000	4838.78
595.00	60.840	59.415	6.500	3229.58
627.00	92.100	92.550	4.000	3033.93
598.00	63.790	62.140	7.000	3664.19
625.00	91.210	90.935	3.000	2069.21
622.00	86.740	85.840	7.500	5775.22
630.00	94.840	94.415	6.500	5471.25
612.00	76.740	75.840	7.500	5062.02
615.00	79.740	78.840	7.500	5286.39
608.00	74.210	73.935	3.000	1729.06
623.00	87.740	86.840	7.500	5843.72
599.00	64.890	63.665	6.000	3263.81
596.00	61.790	60.140	7.000	3511.37
611.00	76.160	76.765	3.500	2176.83
624.00	89.100	89.550	4.000	2956.54
591.00	56.790	55.140	7.000	2915.86
625.00	89.740	88.840	7.500	5975.71
612.00	76.790	76.140	7.000	4768.88
593.00	58.790	57.140	7.000	3243.23
602.00	67.890	66.665	6.000	3474.88
601.00	67.100	66.550	4.000	2182.38
593.00	58.840	57.415	6.500	3076.83
613.00	77.990	78.165	5.000	3410.17
594.00	60.040	59.365	4.500	2189.37
602.00	68.160	67.765	3.500	1896.03
613.00	78.160	78.765	3.500	2232.56
606.00	70.690	69.540	8.000	4719.66
628.00	93.100	93.550	4.000	3056.77
628.00	92.990	93.165	5.000	4003.13
613.00	77.590	75.840	9.000	5748.63
601.00	66.690	64.540	8.000	4286.12
607.00	71.990	72.165	5.000	3128.95
596.00	62.040	61.365	4.500	2266.22
599.00	65.100	64.550	4.000	2098.99
592.00	57.840	56.415	6.500	2995.04
609.00	73.590	71.840	9.000	5280.98
606.00	71.100	71.550	4.000	2375.01
608.00	72.740	71.840	7.500	4720.17
591.00	56.890	55.665	6.000	2721.77
605.00	70.690	68.540	8.000	4639.37
591.00	57.100	56.550	4.000	1766.92
610.00	74.940	74.920	5.500	3639.80
619.00	85.210	84.935	3.000	1976.96
612.00	76.990	77.165	5.000	3365.15
627.00	91.840	91.415	6.500	5316.82
611.00	76.100	76.550	4.000	2553.75
617.00	82.100	82.550	4.000	2749.37
619.00	84.160	84.765	3.500	2394.82
625.00	89.590	87.840	9.000	6816.53
622.00	87.160	87.765	3.500	2470.63
603.00	68.890	67.665	6.000	3545.42
623.00	87.590	85.840	9.000	6642.82
622.00	86.940	86.920	5.500	4214.10
600.00	66.100	65.550	4.000	2141.61
627.00	91.890	91.665	6.000	4881.38
610.00	75.100	75.550	4.000	2519.34
605.00	70.990	70.165	5.000	3025.13
620.00	84.740	83.840	7.500	5636.52
629.00	93.840	93.415	6.500	5420.90
611.00	75.940	75.920	5.500	3689.14
622.00	86.890	86.665	6.000	4639.32
625.00	89.890	89.665	6.000	4789.54
597.00	62.790	61.140	7.000	3587.92
600.00	65.690	63.540	8.000	4193.77
599.00	65.160	64.765	3.500	1790.54
615.00	79.590	77.840	9.000	5924.78
596.00	61.940	60.920	5.500	2813.04
612.00	77.160	77.765	3.500	2206.12
619.00	83.890	83.665	6.000	4481.25
608.00	73.160	73.765	3.500	2086.52
598.00	63.690	61.540	8.000	3933.38
621.00	85.640	84.190	8.500	6267.80
627.00	92.040	92.365	4.500	3496.89
595.00	60.940	59.920	5.500	2754.26
623.00	88.040	88.365	4.500	3366.43
626.00	90.590	88.840	9.000	6919.41
619.00	84.100	84.550	4.000	2846.31
610.00	75.160	75.765	3.500	2147.58
622.00	86.990	87.165	5.000	3776.31
611.00	76.040	76.365	4.500	2935.76
605.00	71.160	70.765	3.500	1994.79
599.00	64.740	62.840	7.500	3949.36
624.00	88.840	88.415	6.500	5155.08
615.00	79.990	80.165	5.000	3492.44
609.00	73.940	73.920	5.500	3585.50
623.00	88.160	88.765	3.500	2491.94
625.00	89.990	90.165	5.000	3890.69
615.00	79.940	79.920	5.500	3887.50
618.00	82.590	80.840	9.000	6180.17
611.00	75.690	74.540	8.000	5187.13
598.00	63.890	62.665	6.000	3196.23
594.00	59.840	58.415	6.500	3156.00
620.00	85.160	85.765	3.500	2424.09
611.00	75.990	76.165	5.000	3321.19
626.00	90.840	90.415	6.500	5263.20
594.00	59.990	59.165	5.000	2438.06
619.00	83.990	84.165	5.000	3657.27
597.00	63.160	62.765	3.500	1717.89
